Date,Pre/Post,Plot,Qdrt,Treatment,Group,Species,Coef,"Native (N) or 
 Non (NN)",Cover
3/10/2022,Pre,1,1,Herbicide,GRAS,ANDGLO,2,NV,3
3/10/2022,Pre,1,1,Herbicide,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,1,1,Herbicide,VINE,AMPARB,4,NV,2
3/10/2022,Pre,1,1,Herbicide,NONE,BARSOI,0,ND,2
3/10/2022,Pre,1,2,Herbicide,SHRU,CEASER,0,NN,4
3/10/2022,Pre,1,2,Herbicide,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,1,2,Herbicide,NONE,BARSOI,0,ND,4
3/10/2022,Pre,1,2,Herbicide,FORB,BIDALB,0,NV,3
11/4/2022,Post,0,3,Control,GRAS,UROMAX,0,NN,0
3/10/2022,Pre,1,2,Herbicide,SHRU,URELOB,0,NN,2
3/10/2022,Pre,1,2,Herbicide,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,1,3,Herbicide,SHRU,DEDURE,0,NN,5
3/10/2022,Pre,1,3,Herbicide,FORB,BIDALB,0,NV,3
3/10/2022,Pre,1,3,Herbicide,NONE,BARSOI,0,ND,3
3/10/2022,Pre,1,3,Herbicide,TREE,SABPAL,2,NV,2
3/10/2022,Pre,1,3,Herbicide,SHRU,URELOB,0,NN,2
3/10/2022,Pre,1,4,Herbicide,SHRU,DEDURE,0,NN,5
3/10/2022,Pre,1,4,Herbicide,FORB,BIDALB,0,NV,4
3/10/2022,Pre,1,4,Herbicide,SHRU,URELOB,0,NN,2
3/10/2022,Pre,1,4,Herbicide,NONE,BARSOI,0,ND,2
3/10/2022,Pre,1,5,Herbicide,SHRU,DEDURE,0,NN,5
3/10/2022,Pre,1,5,Herbicide,SHRU,URELOB,0,NN,3
3/10/2022,Pre,1,5,Herbicide,NONE,BARSOI,0,ND,3
3/10/2022,Pre,1,5,Herbicide,VINE,RUBSPP,3,NV,2
3/10/2022,Pre,1,5,Herbicide,GRAS,UROMAX,0,NN,2
3/10/2022,Pre,1,5,Herbicide,FORB,MALCOR,1,NV,1
3/10/2022,Pre,1,5,Herbicide,FORB,AMBART,0,NV,1
3/10/2022,Pre,1,5,Herbicide,FORB,OXASPP,0,ND,1
3/10/2022,Pre,1,5,Herbicide,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,1,5,Herbicide,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,1,5,Herbicide,SEDG,CYPSPP,0,ND,1
3/10/2022,Pre,2,1,Mechanical,FORB,BIDALB,0,NV,4
3/10/2022,Pre,2,1,Mechanical,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,2,1,Mechanical,NONE,BARSOI,0,ND,2
3/10/2022,Pre,2,1,Mechanical,SHRU,URELOB,0,NN,2
3/10/2022,Pre,2,2,Mechanical,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,2,2,Mechanical,FORB,BIDALB,0,NV,3
3/10/2022,Pre,2,2,Mechanical,NONE,BARSOI,0,ND,2
3/10/2022,Pre,2,2,Mechanical,SHRU,URELOB,0,NN,2
3/10/2022,Pre,2,2,Mechanical,TREE,SABPAL,2,NV,1
3/10/2022,Pre,2,2,Mechanical,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,2,2,Mechanical,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,2,2,Mechanical,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,2,2,Mechanical,FORB,SIDCOR,0,NN,1
3/10/2022,Pre,2,3,Mechanical,FORB,BIDALB,0,NV,4
3/10/2022,Pre,2,3,Mechanical,NONE,BARSOI,0,ND,3
3/10/2022,Pre,2,3,Mechanical,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,2,3,Mechanical,SHRU,URELOB,0,NN,3
3/10/2022,Pre,2,3,Mechanical,TREE,SCHTER,0,NN,2
3/10/2022,Pre,2,3,Mechanical,FORB,AMBART,0,NV,1
3/10/2022,Pre,2,3,Mechanical,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,2,4,Mechanical,FORB,BIDALB,0,NV,4
3/10/2022,Pre,2,4,Mechanical,NONE,BARSOI,0,ND,3
3/10/2022,Pre,2,4,Mechanical,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,2,4,Mechanical,SHRU,URELOB,0,NN,3
3/10/2022,Pre,2,4,Mechanical,FORB,AMBART,0,NV,0
3/10/2022,Pre,2,4,Mechanical,FORB,GAMSPP,0,ND,0
3/10/2022,Pre,2,4,Mechanical,FORB,SIDCOR,0,NN,0
3/10/2022,Pre,2,4,Mechanical,NONE,UNKDIC,0,ND,0
3/10/2022,Pre,2,5,Mechanical,SHRU,DEDURE,0,NN,5
3/10/2022,Pre,2,5,Mechanical,VINE,RUBSPP,3,NV,3
3/10/2022,Pre,2,5,Mechanical,SHRU,URELOB,0,NN,3
3/10/2022,Pre,2,5,Mechanical,NONE,UNKDIC,0,ND,2
3/10/2022,Pre,2,5,Mechanical,NONE,UNKDIC,0,ND,2
3/10/2022,Pre,2,5,Mechanical,NONE,UNKDIC,0,ND,2
3/10/2022,Pre,2,5,Mechanical,FORB,PARFLO,1,NV,1
3/10/2022,Pre,2,5,Mechanical,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,2,5,Mechanical,FORB,GERCAR,0,NV,1
3/10/2022,Pre,3,1,Underlayment,SHRU,CEASER,0,NN,4
3/10/2022,Pre,3,1,Underlayment,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,3,1,Underlayment,FORB,BIDALB,0,NV,3
3/10/2022,Pre,3,1,Underlayment,SHRU,URELOB,0,NN,3
3/10/2022,Pre,3,1,Underlayment,TREE,SABPAL,2,NV,3
3/10/2022,Pre,3,1,Underlayment,NONE,BARSOI,0,ND,2
3/10/2022,Pre,3,1,Underlayment,SHRU,BACHAL,3,NV,2
3/10/2022,Pre,3,1,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,3,1,Underlayment,FORB,MALCOR,1,NV,1
3/10/2022,Pre,3,1,Underlayment,FORB,SIDSPP,0,ND,1
3/10/2022,Pre,3,2,Underlayment,SHRU,CEASER,0,NN,4
3/10/2022,Pre,3,2,Underlayment,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,3,2,Underlayment,FORB,BIDALB,0,NV,3
3/10/2022,Pre,3,2,Underlayment,NONE,BARSOI,0,ND,2
3/10/2022,Pre,3,2,Underlayment,SHRU,URELOB,0,NN,2
3/10/2022,Pre,3,2,Underlayment,FORB,POLPRO,1,NV,1
3/10/2022,Pre,3,2,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,3,3,Underlayment,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,3,3,Underlayment,NONE,BARSOI,0,ND,3
3/10/2022,Pre,3,3,Underlayment,SHRU,URELOB,0,NN,3
3/10/2022,Pre,3,3,Underlayment,FORB,BIDALB,0,NV,2
3/10/2022,Pre,3,3,Underlayment,TREE,SABPAL,2,NV,2
3/10/2022,Pre,3,3,Underlayment,FORB,MALCOR,1,NV,1
3/10/2022,Pre,3,3,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,4,1,Plastic,SHRU,CEASER,0,NN,3
3/10/2022,Pre,4,1,Plastic,NONE,BARSOI,0,ND,4
3/10/2022,Pre,4,1,Plastic,FORB,BIDALB,0,NV,4
3/10/2022,Pre,4,1,Plastic,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,4,1,Plastic,SHRU,URELOB,0,NN,1
3/10/2022,Pre,4,1,Plastic,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,4,2,Plastic,SHRU,CEASER,0,NN,6
3/10/2022,Pre,4,2,Plastic,SHRU,DEDURE,0,NN,5
3/10/2022,Pre,4,2,Plastic,NONE,BARSOI,0,ND,3
3/10/2022,Pre,4,2,Plastic,SHRU,URELOB,0,NN,3
3/10/2022,Pre,4,2,Plastic,FORB,BIDALB,0,NV,2
3/10/2022,Pre,1,3,Herbicide,SHRU,CEASER,0,NN,5
3/10/2022,Pre,1,4,Herbicide,SHRU,CEASER,0,NN,5
3/10/2022,Pre,1,5,Herbicide,SHRU,CEASER,0,NN,6
3/10/2022,Pre,2,1,Herbicide,SHRU,CEASER,0,NN,3
3/10/2022,Pre,2,2,Herbicide,SHRU,CEASER,0,NN,4
3/10/2022,Pre,2,3,Herbicide,SHRU,CEASER,0,NN,4
3/10/2022,Pre,2,4,Herbicide,SHRU,CEASER,0,NN,4
3/10/2022,Pre,2,5,Herbicide,SHRU,CEASER,0,NN,6
3/10/2022,Pre,4,2,Plastic,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,4,3,Plastic,NONE,BARSOI,0,ND,4
3/10/2022,Pre,3,3,Underlayment,SHRU,CEASER,0,NN,5
3/10/2022,Pre,4,3,Plastic,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,4,3,Plastic,SHRU,URELOB,0,NN,3
3/10/2022,Pre,4,3,Plastic,SHRU,CEASER,0,NN,5
3/10/2022,Pre,4,3,Plastic,FORB,BIDALB,0,NV,3
3/10/2022,Pre,5,1,Underlayment,SHRU,CEASER,0,NN,4
3/10/2022,Pre,5,3,Underlayment,SHRU,CEASER,0,NN,3
3/10/2022,Pre,5,1,Underlayment,NONE,BARSOI,0,ND,3
3/10/2022,Pre,5,1,Underlayment,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,6,3,Plastic,SHRU,CEASER,0,NN,4
3/10/2022,Pre,5,1,Underlayment,FORB,BIDALB,0,NV,3
3/10/2022,Pre,5,1,Underlayment,SHRU,URELOB,0,NN,3
3/10/2022,Pre,7,3,Underlayment,SHRU,CEASER,0,NN,5
3/10/2022,Pre,5,1,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,5,2,Underlayment,SHRU,CEASER,0,NN,4
3/10/2022,Pre,8,3,Plastic,SHRU,CEASER,0,NN,5
3/10/2022,Pre,5,2,Underlayment,NONE,BARSOI,0,ND,3
3/10/2022,Pre,5,2,Underlayment,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,9,3,Plastic,SHRU,CEASER,0,NN,5
3/10/2022,Pre,5,2,Underlayment,FORB,BIDALB,0,NV,3
3/10/2022,Pre,5,2,Underlayment,SHRU,URELOB,0,NN,3
3/10/2022,Pre,10,3,Underlayment,SHRU,CEASER,0,NN,6
3/10/2022,Pre,5,2,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,5,3,Underlayment,NONE,BARSOI,0,ND,5
3/10/2022,Pre,11,3,Underlayment,SHRU,CEASER,0,NN,4
3/10/2022,Pre,5,3,Underlayment,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,5,3,Underlayment,FORB,BIDALB,0,NV,3
11/4/2022,Post,1,1,Herbicide,SHRU,CEASER,0,NN,1
11/4/2022,Post,1,2,Herbicide,SHRU,CEASER,0,NN,2
11/4/2022,Post,1,3,Herbicide,SHRU,CEASER,0,NN,2
11/4/2022,Post,1,4,Herbicide,SHRU,CEASER,0,NN,1
11/4/2022,Post,1,5,Herbicide,SHRU,CEASER,0,NN,0
11/4/2022,Post,2,1,Mechanical,SHRU,CEASER,0,NN,1
11/4/2022,Post,2,2,Mechanical,SHRU,CEASER,0,NN,1
11/4/2022,Post,2,3,Mechanical,SHRU,CEASER,0,NN,2
11/4/2022,Post,2,4,Mechanical,SHRU,CEASER,0,NN,2
11/4/2022,Post,2,5,Mechanical,SHRU,CEASER,0,NN,3
3/10/2022,Pre,5,3,Underlayment,SHRU,URELOB,0,NN,2
3/10/2022,Pre,5,3,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,5,3,Underlayment,SEDG,CYPSPP,0,ND,1
3/10/2022,Pre,6,1,Plastic,SHRU,CEASER,0,NN,5
3/10/2022,Pre,6,1,Plastic,NONE,BARSOI,0,ND,4
3/10/2022,Pre,6,1,Plastic,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,6,1,Plastic,SHRU,URELOB,0,NN,3
3/10/2022,Pre,6,1,Plastic,FORB,BIDALB,0,NV,2
3/10/2022,Pre,6,1,Plastic,FORB,EMIFOS,0,NN,2
3/10/2022,Pre,6,1,Plastic,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,6,1,Plastic,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,6,2,Plastic,SHRU,CEASER,0,NN,5
3/10/2022,Pre,6,2,Plastic,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,6,2,Plastic,NONE,BARSOI,0,ND,3
3/10/2022,Pre,6,2,Plastic,SHRU,URELOB,0,NN,3
3/10/2022,Pre,6,2,Plastic,FORB,BIDALB,0,NV,3
3/10/2022,Pre,6,2,Plastic,VINE,RUBSPP,3,NV,2
3/10/2022,Pre,6,2,Plastic,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,6,3,Plastic,FORB,BIDALB,0,NV,4
3/10/2022,Pre,6,3,Plastic,SHRU,URELOB,0,NN,4
3/10/2022,Pre,6,3,Plastic,NONE,BARSOI,0,ND,3
3/10/2022,Pre,6,3,Plastic,SHRU,DEDURE,0,NN,2
3/10/2022,Pre,6,3,Plastic,FORB,PHYSPP,1,NV,2
3/10/2022,Pre,6,3,Plastic,GRAS,UROMAX,0,NN,2
3/10/2022,Pre,6,3,Plastic,FORB,GERCAR,0,NV,1
3/10/2022,Pre,6,3,Plastic,FORB,AMBART,0,NV,1
3/10/2022,Pre,6,3,Plastic,FORB,COMSPP,0,ND,1
3/10/2022,Pre,6,3,Plastic,SEDG,CYPSPP,0,ND,1
3/10/2022,Pre,7,1,Underlayment,SHRU,CEASER,0,NN,4
3/10/2022,Pre,7,1,Underlayment,FORB,BIDALB,0,NV,4
3/10/2022,Pre,7,1,Underlayment,SHRU,URELOB,0,NN,4
3/10/2022,Pre,7,1,Underlayment,FORB,AMBART,0,NV,2
3/10/2022,Pre,7,1,Underlayment,FORB,PHYSPP,1,NV,2
3/10/2022,Pre,7,1,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,7,1,Underlayment,SEDG,CYPSPP,0,ND,1
3/10/2022,Pre,7,1,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,7,2,Underlayment,SHRU,CEASER,0,NN,4
3/10/2022,Pre,7,2,Underlayment,NONE,BARSOI,0,ND,4
3/10/2022,Pre,7,2,Underlayment,VINE,RUBSPP,3,NV,3
3/10/2022,Pre,7,2,Underlayment,FORB,BIDALB,0,NV,3
3/10/2022,Pre,7,2,Underlayment,SHRU,URELOB,0,NN,3
3/10/2022,Pre,7,2,Underlayment,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,7,2,Underlayment,FORB,AMBART,0,NV,2
3/10/2022,Pre,7,2,Underlayment,FORB,PHYSPP,1,NV,2
3/10/2022,Pre,7,2,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,7,3,Underlayment,SHRU,DEDURE,0,NN,5
3/10/2022,Pre,7,3,Underlayment,NONE,BARSOI,0,ND,3
3/10/2022,Pre,7,3,Underlayment,FORB,BIDALB,0,NV,3
3/10/2022,Pre,7,3,Underlayment,SHRU,URELOB,0,NN,2
3/10/2022,Pre,7,3,Underlayment,FORB,PHYSPP,1,NV,2
3/10/2022,Pre,7,3,Underlayment,FORB,AMBART,0,NV,1
3/10/2022,Pre,7,3,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,8,1,Plastic,SHRU,CEASER,0,NN,6
3/10/2022,Pre,8,1,Plastic,SHRU,URELOB,0,NN,5
3/10/2022,Pre,8,1,Plastic,NONE,BARSOI,0,ND,3
3/10/2022,Pre,8,1,Plastic,FORB,BIDALB,0,NV,3
3/10/2022,Pre,8,1,Plastic,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,8,1,Plastic,GRAS,ANDGLO,2,NV,2
3/10/2022,Pre,8,1,Plastic,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,8,2,Plastic,SHRU,CEASER,0,NN,3
3/10/2022,Pre,8,2,Plastic,FORB,BIDALB,0,NV,4
3/10/2022,Pre,8,2,Plastic,NONE,DEDVEG,0,ND,4
3/10/2022,Pre,8,2,Plastic,NONE,BARSOI,0,ND,3
3/10/2022,Pre,8,2,Plastic,SHRU,URELOB,0,NN,3
3/10/2022,Pre,8,2,Plastic,FORB,PHYSPP,1,NV,2
3/10/2022,Pre,8,2,Plastic,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,8,3,Plastic,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,8,3,Plastic,NONE,BARSOI,0,ND,3
3/10/2022,Pre,8,3,Plastic,SHRU,URELOB,0,NN,3
3/10/2022,Pre,8,3,Plastic,FORB,BIDALB,0,NV,3
3/10/2022,Pre,8,3,Plastic,SEDG,CYPSPP,0,ND,1
3/10/2022,Pre,8,3,Plastic,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,8,3,Plastic,FORB,AMBART,0,NV,1
3/10/2022,Pre,8,3,Plastic,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,9,1,Plastic,GRAS,UROMAX,0,NN,0
3/10/2022,Pre,9,1,Plastic,SHRU,CEASER,0,NN,6
3/10/2022,Pre,9,1,Plastic,SHRU,URELOB,0,NN,4
3/10/2022,Pre,9,1,Plastic,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,9,1,Plastic,NONE,BARSOI,0,ND,3
3/10/2022,Pre,9,1,Plastic,FORB,PARFLO,1,NV,2
3/10/2022,Pre,9,1,Plastic,VINE,RUBSPP,3,NV,2
3/10/2022,Pre,9,1,Plastic,FORB,GERCAR,0,NV,1
3/10/2022,Pre,9,1,Plastic,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,9,1,Plastic,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,9,1,Plastic,FORB,AMBART,0,NV,1
3/10/2022,Pre,9,2,Plastic,SHRU,CEASER,0,NN,6
3/10/2022,Pre,9,2,Plastic,SHRU,URELOB,0,NN,4
3/10/2022,Pre,9,2,Plastic,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,9,2,Plastic,FORB,PARFLO,1,NV,3
3/10/2022,Pre,9,2,Plastic,NONE,BARSOI,0,ND,2
3/10/2022,Pre,9,2,Plastic,NONE,UNKDIC,0,ND,2
3/10/2022,Pre,9,2,Plastic,NONE,UNKDIC,0,ND,2
3/10/2022,Pre,9,2,Plastic,NONE,UNKDIC,0,ND,2
3/10/2022,Pre,9,2,Plastic,FORB,GERCAR,0,NV,1
3/10/2022,Pre,9,2,Plastic,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,9,2,Plastic,FORB,AMBART,0,NV,1
3/10/2022,Pre,9,3,Plastic,SHRU,URELOB,0,NN,4
3/10/2022,Pre,9,3,Plastic,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,9,3,Plastic,NONE,BARSOI,0,ND,3
3/10/2022,Pre,9,3,Plastic,NONE,UNKDIC,0,ND,2
3/10/2022,Pre,9,3,Plastic,NONE,UNKDIC,0,ND,2
3/10/2022,Pre,9,3,Plastic,FORB,PARFLO,1,NV,1
3/10/2022,Pre,9,3,Plastic,FORB,AMBART,0,NV,1
3/10/2022,Pre,9,3,Plastic,VINE,RUBSPP,3,NV,1
3/10/2022,Pre,9,3,Plastic,FORB,GERCAR,0,NV,1
3/10/2022,Pre,10,1,Underlayment,SHRU,CEASER,0,NN,6
3/10/2022,Pre,10,1,Underlayment,SHRU,URELOB,0,NN,4
3/10/2022,Pre,10,1,Underlayment,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,10,1,Underlayment,NONE,BARSOI,0,ND,3
3/10/2022,Pre,10,1,Underlayment,VINE,RUBSPP,3,NV,3
3/10/2022,Pre,10,1,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,10,1,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,10,1,Underlayment,FORB,AMBART,0,NV,1
3/10/2022,Pre,10,2,Underlayment,SHRU,CEASER,0,NN,6
3/10/2022,Pre,10,2,Underlayment,SHRU,DEDURE,0,NN,5
3/10/2022,Pre,10,2,Underlayment,SHRU,URELOB,0,NN,3
3/10/2022,Pre,10,2,Underlayment,FORB,MALCOR,1,NV,2
3/10/2022,Pre,10,2,Underlayment,FORB,PARFLO,1,NV,2
3/10/2022,Pre,10,2,Underlayment,VINE,RUBSPP,3,NV,2
3/10/2022,Pre,10,2,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,10,2,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,10,2,Underlayment,FORB,GERCAR,0,NV,1
3/10/2022,Pre,10,2,Underlayment,TREE,SABPAL,2,NV,1
3/10/2022,Pre,10,2,Underlayment,NONE,BARSOI,0,ND,1
3/10/2022,Pre,10,2,Underlayment,FORB,BIDALB,0,NV,1
3/10/2022,Pre,10,2,Underlayment,FORB,AMBART,0,NV,1
3/10/2022,Pre,10,3,Underlayment,SHRU,URELOB,0,NN,5
3/10/2022,Pre,10,3,Underlayment,VINE,RUBSPP,3,NV,3
3/10/2022,Pre,10,3,Underlayment,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,10,3,Underlayment,NONE,BARSOI,0,ND,2
3/10/2022,Pre,10,3,Underlayment,FORB,SIDSPP,0,ND,2
3/10/2022,Pre,10,3,Underlayment,FORB,GERCAR,0,NV,2
3/10/2022,Pre,10,3,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,10,3,Underlayment,FORB,AMBART,0,NV,1
3/10/2022,Pre,10,3,Underlayment,FORB,PARFLO,1,NV,1
3/10/2022,Pre,10,3,Underlayment,VINE,PARQUI,3,NV,1
3/10/2022,Pre,10,3,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,11,1,Underlayment,SHRU,CEASER,0,NN,5
3/10/2022,Pre,11,1,Underlayment,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,11,1,Underlayment,SHRU,URELOB,0,NN,3
3/10/2022,Pre,11,1,Underlayment,NONE,BARSOI,0,ND,2
3/10/2022,Pre,11,1,Underlayment,VINE,RUBSPP,3,NV,2
3/10/2022,Pre,11,1,Underlayment,FORB,BIDALB,0,NV,2
3/10/2022,Pre,11,1,Underlayment,FORB,SIDSPP,0,ND,2
3/10/2022,Pre,11,1,Underlayment,VINE,IPOSPP,0,NV,1
3/10/2022,Pre,11,1,Underlayment,FORB,AMBART,0,NV,1
3/10/2022,Pre,11,1,Underlayment,FORB,COMSPP,0,ND,1
3/10/2022,Pre,11,1,Underlayment,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,11,1,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,11,1,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,11,1,Underlayment,TREE,SCHTER,0,NN,1
3/10/2022,Pre,11,2,Underlayment,GRAS,UROMAX,0,NN,0
3/10/2022,Pre,11,2,Underlayment,SHRU,CEASER,0,NN,5
3/10/2022,Pre,11,2,Underlayment,NONE,BARSOI,0,ND,4
3/10/2022,Pre,11,2,Underlayment,SHRU,DEDURE,0,NN,4
3/10/2022,Pre,11,2,Underlayment,VINE,RUBSPP,3,NV,3
3/10/2022,Pre,11,2,Underlayment,SHRU,URELOB,0,NN,3
3/10/2022,Pre,1,1,Herbicide,GRAS,UROMAX,0,NN,0
3/10/2022,Pre,1,2,Herbicide,GRAS,UROMAX,0,NN,0
3/10/2022,Pre,1,3,Herbicide,GRAS,UROMAX,0,NN,0
3/10/2022,Pre,1,4,Herbicide,GRAS,UROMAX,0,NN,0
3/10/2022,Pre,11,2,Underlayment,FORB,PARFLO,1,NV,3
3/10/2022,Pre,11,2,Underlayment,FORB,MALCOR,1,NV,2
3/10/2022,Pre,11,2,Underlayment,FORB,AMBART,0,NV,1
3/10/2022,Pre,11,2,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,11,2,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,11,3,Underlayment,SHRU,URELOB,0,NN,4
3/10/2022,Pre,11,3,Underlayment,NONE,BARSOI,0,ND,4
3/10/2022,Pre,11,3,Underlayment,VINE,RUBSPP,3,NV,2
3/10/2022,Pre,11,3,Underlayment,SHRU,DEDURE,0,NN,2
3/10/2022,Pre,11,3,Underlayment,FORB,PARFLO,1,NV,2
3/10/2022,Pre,11,3,Underlayment,FORB,AMBART,0,NV,2
3/10/2022,Pre,11,3,Underlayment,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,11,3,Underlayment,FORB,MALCOR,1,NV,1
11/4/2022,Post,0,1,Control,SHRU,CEASER,0,NN,4
11/4/2022,Post,0,1,Control,SHRU,URELOB,0,NN,4
11/4/2022,Post,0,1,Control,GRAS,UROMAX,0,NN,4
11/4/2022,Post,0,1,Control,FABA,INDHIR,0,NN,4
11/4/2022,Post,0,1,Control,NONE,BARSOI,0,ND,1
11/4/2022,Post,0,2,Control,SHRU,CEASER,0,NN,0
11/4/2022,Post,0,2,Control,GRAS,UROMAX,0,NN,6
11/4/2022,Post,0,2,Control,FABA,INDHIR,0,NN,2
11/4/2022,Post,1,1,Herbicide,FORB,BIDALB,0,NV,4
11/4/2022,Post,1,1,Herbicide,NONE,BARSOI,0,ND,3
11/4/2022,Post,1,1,Herbicide,NONE,DEDVEG,0,ND,3
11/4/2022,Post,1,1,Herbicide,GRAS,UROMAX,0,NN,2
11/4/2022,Post,1,1,Herbicide,FORB,CORAES,0,NN,2
11/4/2022,Post,1,1,Herbicide,FORB,PHLSPP,0,NV,2
11/4/2022,Post,1,1,Herbicide,SHRU,URELOB,0,NN,1
