Date,Plot,Qdrt,Treatment,Group,Cover,Species,"Native (N) or 
 Non (NN)",Coef
3/10/2022,2,2,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,2,2,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,2,2,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,2,2,Baseline,FORB,1,SIDCOR,NN,0
3/10/2022,2,3,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,2,3,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,2,3,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,2,3,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,2,3,Baseline,TREE,2,SCHTER,NN,0
3/10/2022,2,3,Baseline,FORB,1,AMBART,NV,0
3/10/2022,2,3,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,2,4,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,2,4,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,2,4,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,2,4,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,2,4,Baseline,FORB,0,AMBART,NV,0
3/10/2022,2,4,Baseline,FORB,0,GAMSPP,ND,0
3/10/2022,2,4,Baseline,FORB,0,SIDCOR,NN,0
3/10/2022,2,4,Baseline,NONE,0,UNKDIC,ND,0
3/10/2022,2,5,Baseline,SHRU,5,DEDURE,NN,0
3/10/2022,2,5,Baseline,VINE,3,RUBSPP,NV,3
3/10/2022,2,5,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,2,5,Baseline,NONE,2,UNKDIC,ND,0
3/10/2022,2,5,Baseline,NONE,2,UNKDIC,ND,0
3/10/2022,2,5,Baseline,NONE,2,UNKDIC,ND,0
3/10/2022,2,5,Baseline,FORB,1,PARFLO,NV,1
3/10/2022,2,5,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,2,5,Baseline,FORB,1,GERCAR,NV,0
3/10/2022,3,1,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,3,1,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,3,1,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,3,1,Baseline,TREE,3,SABPAL,NV,2
3/10/2022,3,1,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,3,1,Baseline,SHRU,2,BACHAL,NV,3
3/10/2022,3,1,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,3,1,Baseline,FORB,1,MALCOR,NV,1
3/10/2022,3,1,Baseline,FORB,1,SIDSPP,ND,0
3/10/2022,3,2,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,3,2,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,3,2,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,3,2,Baseline,SHRU,2,URELOB,NN,0
3/10/2022,3,2,Baseline,FORB,1,POLPRO,NV,1
3/10/2022,3,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,3,3,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,3,3,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,3,3,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,3,3,Baseline,FORB,2,BIDALB,NV,0
3/10/2022,3,3,Baseline,TREE,2,SABPAL,NV,2
3/10/2022,3,3,Baseline,FORB,1,MALCOR,NV,1
3/10/2022,3,3,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,4,1,Baseline,NONE,4,BARSOI,ND,0
3/10/2022,4,1,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,4,1,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,4,1,Baseline,SHRU,1,URELOB,NN,0
3/10/2022,4,1,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,4,2,Baseline,SHRU,5,DEDURE,NN,0
3/10/2022,4,2,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,4,2,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,4,2,Baseline,FORB,2,BIDALB,NV,0
3/10/2022,4,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,4,3,Baseline,NONE,4,BARSOI,ND,0
3/10/2022,4,3,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,4,3,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,4,3,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,5,1,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,5,1,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,5,1,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,5,1,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,5,1,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,5,2,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,5,2,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,5,2,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,5,2,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,5,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,5,3,Baseline,NONE,5,BARSOI,ND,0
3/10/2022,5,3,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,5,3,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,5,3,Baseline,SHRU,2,URELOB,NN,0
3/10/2022,5,3,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,5,3,Baseline,SEDG,1,CYPSPP,ND,0
3/10/2022,6,1,Baseline,NONE,4,BARSOI,ND,0
3/10/2022,6,1,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,6,1,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,6,1,Baseline,FORB,2,BIDALB,NV,0
3/10/2022,6,1,Baseline,FORB,2,EMIFOS,NN,0
3/10/2022,6,1,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,6,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,6,2,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,6,2,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,6,2,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,6,2,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,6,2,Baseline,VINE,2,RUBSPP,NV,3
3/10/2022,6,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,6,3,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,6,3,Baseline,SHRU,4,URELOB,NN,0
3/10/2022,6,3,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,6,3,Baseline,SHRU,2,DEDURE,NN,0
3/10/2022,6,3,Baseline,FORB,2,PHYSPP,NV,1
3/10/2022,6,3,Baseline,GRAS,2,UROMAX,NN,0
3/10/2022,6,3,Baseline,FORB,1,GERCAR,NV,0
3/10/2022,6,3,Baseline,FORB,1,AMBART,NV,0
3/10/2022,6,3,Baseline,FORB,1,COMSPP,ND,0
3/10/2022,6,3,Baseline,SEDG,1,CYPSPP,ND,0
3/10/2022,7,1,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,7,1,Baseline,SHRU,4,URELOB,NN,0
3/10/2022,7,1,Baseline,FORB,2,AMBART,NV,0
3/10/2022,7,1,Baseline,FORB,2,PHYSPP,NV,1
3/10/2022,7,1,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,7,1,Baseline,SEDG,1,CYPSPP,ND,0
3/10/2022,7,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,7,2,Baseline,NONE,4,BARSOI,ND,0
3/10/2022,7,2,Baseline,VINE,3,RUBSPP,NV,3
3/10/2022,7,2,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,7,2,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,7,2,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,7,2,Baseline,FORB,2,AMBART,NV,0
3/10/2022,7,2,Baseline,FORB,2,PHYSPP,NV,1
3/10/2022,7,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,7,3,Baseline,SHRU,5,DEDURE,NN,0
3/10/2022,7,3,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,7,3,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,7,3,Baseline,SHRU,2,URELOB,NN,0
3/10/2022,7,3,Baseline,FORB,2,PHYSPP,NV,1
3/10/2022,7,3,Baseline,FORB,1,AMBART,NV,0
3/10/2022,7,3,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,8,1,Baseline,SHRU,5,URELOB,NN,0
3/10/2022,8,1,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,8,1,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,8,1,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,8,1,Baseline,GRAS,2,ANDGLO,NV,2
3/10/2022,8,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,8,2,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,8,2,Baseline,NONE,4,DEDVEG,ND,0
3/10/2022,8,2,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,8,2,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,8,2,Baseline,FORB,2,PHYSPP,NV,1
3/10/2022,8,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,8,3,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,8,3,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,8,3,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,8,3,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,8,3,Baseline,SEDG,1,CYPSPP,ND,0
3/10/2022,8,3,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,8,3,Baseline,FORB,1,AMBART,NV,0
3/10/2022,8,3,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,9,1,Baseline,SHRU,4,URELOB,NN,0
3/10/2022,9,1,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,9,1,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,9,1,Baseline,FORB,2,PARFLO,NV,1
3/10/2022,9,1,Baseline,VINE,2,RUBSPP,NV,3
3/10/2022,9,1,Baseline,FORB,1,GERCAR,NV,0
3/10/2022,9,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,9,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,9,1,Baseline,FORB,1,AMBART,NV,0
3/10/2022,9,2,Baseline,SHRU,4,URELOB,NN,0
3/10/2022,9,2,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,9,2,Baseline,FORB,3,PARFLO,NV,1
3/10/2022,9,2,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,9,2,Baseline,NONE,2,UNKDIC,ND,0
3/10/2022,9,2,Baseline,NONE,2,UNKDIC,ND,0
3/10/2022,9,2,Baseline,NONE,2,UNKDIC,ND,0
3/10/2022,9,2,Baseline,FORB,1,GERCAR,NV,0
3/10/2022,9,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,9,2,Baseline,FORB,1,AMBART,NV,0
3/10/2022,9,3,Baseline,SHRU,4,URELOB,NN,0
3/10/2022,9,3,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,9,3,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,9,3,Baseline,NONE,2,UNKDIC,ND,0
3/10/2022,9,3,Baseline,NONE,2,UNKDIC,ND,0
3/10/2022,9,3,Baseline,FORB,1,PARFLO,NV,1
3/10/2022,9,3,Baseline,FORB,1,AMBART,NV,0
3/10/2022,9,3,Baseline,VINE,1,RUBSPP,NV,3
3/10/2022,9,3,Baseline,FORB,1,GERCAR,NV,0
3/10/2022,10,1,Baseline,SHRU,4,URELOB,NN,0
3/10/2022,10,1,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,10,1,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,10,1,Baseline,VINE,3,RUBSPP,NV,3
3/10/2022,10,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,10,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,10,1,Baseline,FORB,1,AMBART,NV,0
3/10/2022,10,2,Baseline,SHRU,5,DEDURE,NN,0
3/10/2022,10,2,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,10,2,Baseline,FORB,2,MALCOR,NV,1
3/10/2022,10,2,Baseline,FORB,2,PARFLO,NV,1
3/10/2022,10,2,Baseline,VINE,2,RUBSPP,NV,3
3/10/2022,10,2,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,10,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,10,2,Baseline,FORB,1,GERCAR,NV,0
3/10/2022,10,2,Baseline,TREE,1,SABPAL,NV,2
3/10/2022,10,2,Baseline,NONE,1,BARSOI,ND,0
3/10/2022,10,2,Baseline,FORB,1,BIDALB,NV,0
3/10/2022,10,2,Baseline,FORB,1,AMBART,NV,0
3/10/2022,10,3,Baseline,SHRU,5,URELOB,NN,0
3/10/2022,10,3,Baseline,VINE,3,RUBSPP,NV,3
3/10/2022,10,3,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,10,3,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,10,3,Baseline,FORB,2,SIDSPP,ND,0
3/10/2022,10,3,Baseline,FORB,2,GERCAR,NV,0
3/10/2022,10,3,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,10,3,Baseline,FORB,1,AMBART,NV,0
3/10/2022,10,3,Baseline,FORB,1,PARFLO,NV,1
3/10/2022,10,3,Baseline,VINE,1,PARQUI,NV,3
3/10/2022,10,3,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,11,1,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,11,1,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,11,1,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,11,1,Baseline,VINE,2,RUBSPP,NV,3
3/10/2022,11,1,Baseline,FORB,2,BIDALB,NV,0
3/10/2022,11,1,Baseline,FORB,2,SIDSPP,ND,0
3/10/2022,11,1,Baseline,VINE,1,IPOSPP,NV,0
3/10/2022,11,1,Baseline,FORB,1,AMBART,NV,0
3/10/2022,11,1,Baseline,FORB,1,COMSPP,ND,0
3/10/2022,11,1,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,11,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,11,1,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,11,1,Baseline,TREE,1,SCHTER,NN,0
3/10/2022,11,2,Baseline,NONE,4,BARSOI,ND,0
3/10/2022,11,2,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,11,2,Baseline,VINE,3,RUBSPP,NV,3
3/10/2022,11,2,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,11,2,Baseline,FORB,3,PARFLO,NV,1
3/10/2022,11,2,Baseline,FORB,2,MALCOR,NV,1
3/10/2022,11,2,Baseline,FORB,1,AMBART,NV,0
3/10/2022,11,2,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,11,2,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,11,3,Baseline,SHRU,4,URELOB,NN,0
3/10/2022,11,3,Baseline,NONE,4,BARSOI,ND,0
3/10/2022,11,3,Baseline,VINE,2,RUBSPP,NV,3
3/10/2022,11,3,Baseline,SHRU,2,DEDURE,NN,0
3/10/2022,11,3,Baseline,FORB,2,PARFLO,NV,1
3/10/2022,11,3,Baseline,FORB,2,AMBART,NV,0
3/10/2022,11,3,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,11,3,Baseline,FORB,1,MALCOR,NV,1
4/27/2022,0,1,Control,NONE,6,DEDVEG,ND,0
4/27/2022,0,1,Control,NONE,2,BARSOI,ND,0
4/27/2022,0,1,Control,SHRU,1,URELOB,NN,0
4/27/2022,0,1,Control,VINE,1,AMPARB,NV,4
4/27/2022,0,1,Control,GRAS,1,SETPAR,NV,3
4/27/2022,0,1,Control,FORB,1,AMBART,NV,0
4/27/2022,0,1,Control,NONE,1,UNKMON,ND,0
4/27/2022,0,1,Control,GRAS,1,UROMAX,NN,0
4/27/2022,0,1,Control,NONE,1,UNKDIC,ND,0
4/27/2022,0,2,Control,NONE,6,DEDVEG,ND,0
4/27/2022,0,2,Control,NONE,3,BARSOI,ND,0
4/27/2022,0,2,Control,SHRU,1,URELOB,NN,0
4/27/2022,0,2,Control,VINE,1,AMPARB,NV,4
4/27/2022,0,2,Control,VINE,1,RUBSPP,NV,3
4/27/2022,0,2,Control,GRAS,1,UROMAX,NN,0
4/27/2022,0,2,Control,NONE,1,UNKDIC,ND,0
4/27/2022,1,1,Mow,NONE,3,DEDVEG,ND,0
4/27/2022,1,1,Mow,GRAS,3,UROMAX,NN,0
4/27/2022,1,1,Mow,SHRU,3,URELOB,NN,0
4/27/2022,1,1,Mow,SEDG,2,CYPSPP,ND,0
4/27/2022,1,1,Mow,NONE,2,BARSOI,ND,0
4/27/2022,1,1,Mow,FORB,1,AMBART,NV,0
4/27/2022,1,1,Mow,FABA,1,SENOBT,NV,1
4/27/2022,1,1,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,1,1,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,1,1,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,1,1,Mow,TREE,1,SABPAL,NV,2
4/27/2022,1,2,Mow,NONE,5,DEDVEG,ND,0
4/27/2022,1,2,Mow,NONE,3,BARSOI,ND,0
4/27/2022,1,2,Mow,GRAS,2,SPOSPP,NN,0
4/27/2022,1,2,Mow,FORB,1,AMBART,NV,0
4/27/2022,1,2,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,1,3,Mow,NONE,5,DEDVEG,ND,0
4/27/2022,1,3,Mow,SHRU,3,URELOB,NN,0
4/27/2022,1,3,Mow,NONE,2,BARSOI,ND,0
4/27/2022,1,3,Mow,GRAS,2,UROMAX,NN,0
4/27/2022,1,3,Mow,SEDG,1,CYPSPP,ND,0
4/27/2022,1,3,Mow,FORB,1,AMBART,NV,0
4/27/2022,1,3,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,1,3,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,1,3,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,1,3,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,1,4,Mow,NONE,6,DEDVEG,ND,0
4/27/2022,1,4,Mow,NONE,2,BARSOI,ND,0
4/27/2022,1,4,Mow,SEDG,2,CYPSPP,ND,0
4/27/2022,1,4,Mow,SHRU,2,URELOB,NN,0
4/27/2022,1,4,Mow,FORB,2,AMBART,NV,0
4/27/2022,1,4,Mow,GRAS,1,UROMAX,NN,0
4/27/2022,1,5,Mow,FORB,4,BIDALB,NV,0
4/27/2022,1,5,Mow,FORB,4,AMBART,NV,0
4/27/2022,1,5,Mow,FORB,3,OENSIM,NV,1
4/27/2022,1,5,Mow,NONE,2,DEDVEG,ND,0
4/27/2022,1,5,Mow,FORB,2,LEPSPP,NV,0
4/27/2022,1,5,Mow,GRAS,2,UROMAX,NN,0
4/27/2022,1,5,Mow,NONE,1,BARSOI,ND,0
4/27/2022,1,5,Mow,FORB,1,BIDALB,NV,0
4/27/2022,1,5,Mow,FORB,1,GERCAR,NV,0
4/27/2022,1,5,Mow,FABA,1,MACLAT,NN,0
4/27/2022,1,5,Mow,SHRU,1,URELOB,NN,0
4/27/2022,1,5,Mow,SEDG,1,CYPSPP,ND,0
4/27/2022,2,1,Mow,NONE,5,DEDVEG,ND,0
4/27/2022,2,1,Mow,NONE,3,BARSOI,ND,0
4/27/2022,2,1,Mow,GRAS,2,UROMAX,NN,0
4/27/2022,2,1,Mow,SHRU,2,URELOB,NN,0
4/27/2022,2,1,Mow,FABA,1,SENOBT,NV,1
4/27/2022,2,1,Mow,VINE,1,MOMCHA,NN,0
4/27/2022,2,1,Mow,FORB,1,AMBART,NV,0
4/27/2022,2,1,Mow,SEDG,1,CYPSPP,ND,0
4/27/2022,2,2,Mow,NONE,5,BARSOI,ND,0
4/27/2022,2,2,Mow,FORB,3,AMBART,NV,0
4/27/2022,2,2,Mow,NONE,2,DEDVEG,ND,0
4/27/2022,2,2,Mow,SEDG,2,CYPSPP,ND,0
4/27/2022,2,2,Mow,VINE,2,MOMCHA,NN,0
4/27/2022,2,2,Mow,SHRU,1,URELOB,NN,0
4/27/2022,2,2,Mow,FORB,1,BIDALB,NV,0
4/27/2022,2,2,Mow,GRAS,1,EUSPET,NV,2
4/27/2022,2,2,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,2,3,Mow,NONE,4,DEDVEG,ND,0
4/27/2022,2,3,Mow,NONE,3,BARSOI,ND,0
4/27/2022,2,3,Mow,SHRU,3,URELOB,NN,0
4/27/2022,2,3,Mow,GRAS,2,UROMAX,NN,0
4/27/2022,2,3,Mow,SEDG,1,CYPSPP,ND,0
4/27/2022,2,3,Mow,FORB,1,AMBART,NV,0
4/27/2022,2,3,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,2,3,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,2,4,Mow,NONE,4,DEDVEG,ND,0
4/27/2022,2,4,Mow,SHRU,3,URELOB,NN,0
4/27/2022,2,4,Mow,NONE,2,BARSOI,ND,0
4/27/2022,2,4,Mow,GRAS,2,UROMAX,NN,0
4/27/2022,2,4,Mow,FORB,1,AMBART,NV,0
4/27/2022,2,4,Mow,SEDG,1,CYPSPP,ND,0
4/27/2022,2,4,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,2,4,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,2,4,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,2,4,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,2,4,Mow,VINE,1,RUBSPP,NV,3
4/27/2022,2,4,Mow,FABA,1,SENOBT,NV,1
4/27/2022,2,5,Mow,NONE,5,DEDVEG,ND,0
4/27/2022,2,5,Mow,FORB,4,BIDALB,NV,0
4/27/2022,2,5,Mow,SHRU,3,URELOB,NN,0
4/27/2022,2,5,Mow,FORB,2,AMBART,NV,0
4/27/2022,2,5,Mow,NONE,1,BARSOI,ND,0
4/27/2022,2,5,Mow,FORB,1,SIDCOR,NN,0
4/27/2022,2,5,Mow,FORB,1,LOBSPP,NV,2
4/27/2022,2,5,Mow,FORB,1,OENSIM,NV,1
4/27/2022,2,5,Mow,SEDG,1,CYPSPP,ND,0
4/27/2022,2,5,Mow,GRAS,1,DIGFIL,NV,7
4/27/2022,2,5,Mow,FORB,1,COMSPP,ND,0
4/27/2022,3,1,Mow,NONE,5,DEDVEG,ND,0
4/27/2022,3,1,Mow,NONE,3,BARSOI,ND,0
4/27/2022,3,1,Mow,FABA,1,SENOBT,NV,1
4/27/2022,3,1,Mow,GRAS,1,UROMAX,NN,0
4/27/2022,3,1,Mow,SHRU,1,URELOB,NN,0
4/27/2022,3,1,Mow,FORB,1,AMBART,NV,0
4/27/2022,3,1,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,3,1,Mow,NONE,1,UNKDIC,ND,0
4/27/2022,3,1,Mow,FORB,1,PHYSPP,NV,1
4/27/2022,3,2,Mow,NONE,4,DEDVEG,ND,0
4/27/2022,3,2,Mow,SEDG,3,CYPSPP,ND,0
4/27/2022,3,2,Mow,NONE,2,BARSOI,ND,0
4/27/2022,3,2,Mow,FORB,2,AMBART,NV,0
4/27/2022,3,2,Mow,SHRU,2,URELOB,NN,0
4/27/2022,3,2,Mow,GRAS,1,UROMAX,NN,0
4/27/2022,3,2,Mow,NONE,1,UNKDIC,ND,0
